id,text,word,pejorative
61201,avevo chiesto a mia madre di andare al mc domani e lei ha dovuto dirlo per forza a mio padre e ora lui mi ha urlato contro che sono una balena e che faccio schifo,balena,1
61202,@grignanipage In c… alla balena 🌈🌈,balena,0
61203,"RT @ArditoAspetto: @UNIREDPILL Ahahahahahah. Una balena che detta le condizioni. 1,70 senza tacchi e 120 kili senza mutande. ",balena,1
61204,@brina444 quanto cazzo mangi porco due sei na balena pe spende 80€  de cena de routine,balena,1
61205,RT @donvitorap: metafora di GIGA elefante formica o balena ha cervello cento giga umani ha 3 giga ahahah SCEMI SCEMI come la canzone di Vasco,balena,0
61206,"@UNIREDPILL La balena spiaggiata e pure vecchia, sta a fare la schizzinosa ma manco i vucumprà della spiaggia se la pigliano.",balena,1
61207,@__MrsUoma__ In realtà lo uso pochissimo..di tanto in tanto mi balena l'idea di buttarlo giù..,balena,0
61208,"@meandmilli Per quando non mi piaccia, bisogna dire che si è girata così quando ha sentito dire da Micol che forse non può indossare nessuno dei tre vestiti perché è diventata una balena (cito testuali parole)",balena,1
61209,"Ma micol, come fai a dire che sei una balena?\nSe bellissima ❤️ #incorvassi #gfvip",balena,1
61210,"@meandmilli Si è girata così al suo ""sono una balena"", questa volta la faccia era identica alla mia 😂",balena,1
61211,@Ileniastellaa Perché dice di essere una balena,balena,1
61212,povera cucciola ha detto che non sa se le stanno bene perché si sente una balena 🥲\n#incorvassi #GFvip https://t.co/60dVw5HQLG,balena,1
61213,"Ma quale balena, se è dimagrita un botto 🤦🏼‍♀️ #INCORVASSI",balena,1
61214,Micol se dici ancora di essere diventata una balena ti vengo a picchiareeee #incorvassi,balena,1
61215,Micol che dice che non sa quale vestito le stara' bene perché è diventata una Balena #incorvassi,balena,1
61216,"Nel video una balena spiaggiata sulle coste di Long Island. Nell'ultimo mese sono sette i cetacei trovati sulle rive degli stati di New York e New Jersey, alcuni danno la colpa ai lavori di preparazione dell'eolico offshore https://t.co/dlxXZiyZQA",balena,0
61217,@sonoilgrinch persona più felice del mondo. Faccio ancora fatica a guardarmi allo specchio perché vedo sempre quella “balena” come mi definivano e inizio solo ora a sbloccarmi nel parlare con le persone,balena,1
61218,la riunione\nfissare\npiovere-pioggia\nflauto\ndeciso-decidere\ncominciare/camminare\ninsistere-insistito\nesprimere/espresso\nprodurre-prodotto\nspegnere/chiudere\naccendere-acceso\nspegnere-spento\nprestare/ridare\noltre/altro\ndomanda/risposta\nannullare\ncilindro\npesca/pesce\npiccante\nbalena,balena,0
61219,"@fillequisiffle mi par il minimo, sto bisticciando col mio comune perché la mettano dove sto: sostanzialmente in culo alla balena 🤣",balena,0
61220,@eretico_l @modamanager @laperlaneranera @Anna302478978 @SmitArianna @lisargadata @Victoria_Wet @Dorayak56884206 @PaolaSimonin @Charles96432447 @avinumalkeinu @Overbite71 @ACCEDIALSITO @Luky_Alfio3945 @MariaFi27832951 @francobaietti @d_essere @armidmar @digibaby @ilbuonpaztore @MarcoLu41052677 @Giovanni7769 @LONG00885513 @Th3P3ck @sedicizero @bevilatazza @Emanuelesecond @LuciusV72261299 @Gabriel05470893 @Maya51031588 @Silvia26143094 @vincenz94704898 @fracci_carlo @pdnetwork @M5S_Senato @LegaSalvini @M5S_Camera @articoloUnoMDP @ItaliaViva @GiuseppeConteIT @ladyonorato @Pierferdinando @GiorgiaMeloni @robersperanza @berlusconi @GuidoCrosetto @Antonio_Tajani Tutti gli ometti del presidente.. la Balena nuota in aree pericolose\n La Nancy Gambino è  nei guai.. Contano sulla Mafia. #MessinaDenaro era il cavallo dei figli di troia per fare uscire i boss.Strategia del Terrore? Pare che la Capua abbia chiesto aiuto🦋\nhttps://t.co/BC6x5AyrCs,balena,0
61221,In quanti sogni e mani scivolavano pagine di memoria -\nOpera di V. Balena.\nhttps://t.co/URGbzEt1vm\n\n@zuccaro_sonia @pa_raffa @CarmelaCusmai\n@PCattoretti @vitadaMaestra_ @SiMu2021\n@IlvaMenchini @IvoMandarino @UnmondodilibriC\n#BuongiornoATutti @MicScianca \nhttps://t.co/T6GEjpCfA5 https://t.co/JiJWkLzjPm,balena,0
61222,"#Cristianità\n⚠️vietato🚫\n-🐬🐳🐋🦈 delfino, balena, orca, squalo \n(in #giappone li mangiano)\n\n⚠️vietato🚫\n\n- 🐙🦑🦐🍤🦞🦀🥟🐚 polipo, seppia, gamberi, gamberetti, aragosta, granchio, vongole, cozze\n(paesi sud asiatici lo mangiano per tradizione, paesi occidentali come trend)",balena,0
61223,"Musica &amp; divertimento, Manuela Bollani ospite dei Giovedì della Balena https://t.co/sPw9Bo6Lk5",balena,0
61224,@fabcet Vero. Ma almeno nella balena bianca i ministri non sparavano boiate in continuazione 🤬,balena,0
61225,Manuela Bollani il 2 febbraio ospite ai Giovedì della Balena a Rosignano Solvay https://t.co/zUqBDymBhg #show #showtime #febbraio #ArtistOnTwitter,balena,0
61226,"tra donne poi è uno schifo sentire certe battutine ""sono grossa mamma mia ho le gambe da balena"" ed erano magre vabbè chiudevo un occhio però poi diventava anche pesante la cosa",balena,1
61227,"@diehexe68 Non perderti gli stupendi particolari invernali da fotografare, mi raccomando; ogni scatto racconta una storia \n(Devo dire che mi stó appassionando, già mi balena l'idea si prendere una reflex...) \nBuona giornata 💙🌸",balena,0
61228,Manuela Bollani ai Giovedì della Balena https://t.co/jv9kznZeFw via @Oltrelecolonne,balena,0
61229,unica cosa bella è che ha detto che pesa 60kg adesso quindi peso meno di lei anche se sembro una balena 😍,balena,1
61230,"@pap1pap ""Guarda Pap, una balena!""",balena,0
61231,"@pasqualevatino @Rossy_only @Daje77 Hai ragione, e mi mancavano pure, anche se sono altrusta, se trovassi qualcuna, dono tutto il grasso di balena😂",balena,1
61232,@paola_demicheli Evviva la balena bianca di buona memoria!! Quante volte vi dovete  spiaggiare prima di rendervi conto che siete troppo diversi e non trovate contenuti condivisibili intorno ai quali consolidarvi e ricostruire?Non perdete + tempo e trovate una nuova classe dirigente.,balena,0
61233,"In #Giappone spunta la carne di balena nei distributori automatici, polemiche dagli animalisti\nhttps://t.co/qyKuGo935p via @LaStampa",balena,0
61234,"P. Manuel João, comboniano\nRiflessione domenicale\ndalla bocca della mia balena, la sla\nLa nostra croce è il pulpito della Parola\n\nLE OTTO PORTE DEL REGNO\nIV Domenica del Tempo ordinario (A)\nhttps://t.co/kDjqlXnudx",balena,0
61235,Uno squalo balena fa uno spuntino veloce.🐋\n https://t.co/A85V5Io0Js,balena,0
61236,"@PdorKmerson ""fanno salire"", I mean. Il senso è che i giganteschi uccelli-simha portavano ai loro nidi come prede balene (timi è un grande pesce balena-like) ed elefanti.",balena,0
61237,"Sono di nuovo una balena, ma i denti si stanno sbiancando e sono una bimba felice 🥺",balena,1
61238,@dsaltari @perelaa Rigorosamente da indossare in abbinamento agli occhialini stile Kanye in osso di balena https://t.co/C6ejpZdrDE,balena,0
61239,"""Le balene non cantano perché hanno una risposta, cantano perché hanno una canzone.""\nGregory Colbert\nIn Giappone un'azienda ha reso disponibile carne di balena nei distributori automatici \n#whale #whales #Japan #naturelover #art #artworks #arte #artists #draw #draws #drawing https://t.co/P6sXuQhjIs",balena,0
61240,Giappone: carne di balena acquistabile nei distributori automatici - https://t.co/cQhrh1LZ81 https://t.co/eijebyLBDd,balena,0
