id,text,word,pejorative,misogyny
10001,"""Che nome c'ha questo piatto?"" \n""La mia Pathong"" \n""E com'è la tua PathonK?""\n""Colorata, speziata... Acida. Come me""",acida,0,0
10002,"Io proprio non vorrei fare sempre la parte di quella acida e lo so che tutti i miei tweet sono polemici, però NO. GOD. NO. https://t.co/K5PxxrtQ3I",acida,1,0
10003,"@Rossie9Isabella Patate con carne:\n Patate - 1 kg\n Uovo - 2-3 pezzi.\n Farina - 4-5 cucchiai.  l.\n Carne (maiale, manzo, ecc.) - 500 g\n Cipolle - 1-2 pezzi.\n Sale - a piacere\n Pepe - a piacere\n Olio vegetale per friggere\n Panna acida (per servire) - a piacere",acida,0,0
10004,@ConfortiTiziana Sembri la sorella gemella di Renato Brunetta. Uguali!! Ora capisco perché sei così acida. La vita con te è stata ingiusta. Ma non te la puoi prendere con gli altri però. Lavora su te stessa e magari in futuro riuscirai ad approcciarti al prossimo senza cattiveria. https://t.co/VGVIBp4GeE,acida,1,1
10005,@solojuventuss @5e323d2f9d32427 Acida la nonnina...niente lasagna e niente...ma si chiudiamola qui😂😂,acida,1,1
10006,@f_rodognino A me no. Semplicemente allora è fuori luogo il tuo primo tweet. Comunque meno acida ❤️,acida,1,1
10007,"@Ponkia3 Ripeto, passa oltre. Grazie. Vai a a sfogare la tua repressione altrove. A me fa ridere e trovo che rappresenti la realta quindi me ne frego se è un Photoshop. Ti disturba la cosa? È il mio profilo e faccio come mi pare. Vai, passa oltre. Sciò sciò, pussa via acida!",acida,1,0
10008,"@musicaddicted__ @juventusfc Di nulla.\nDel resto, tu sei juventina acida, io incazzato e rancoroso, siamo ben assortiti.\n😁 😁",acida,1,1
10009,@NoahM21366026 @granatiere1906 @Antone2lo_ @Gabgar71 @ZZiliani Troppo acida. Conduci sicuramente una brutta vita se vuoi conosco qualcuno del tuo paese che potrebbe aiutarti.,acida,1,1
10010,@smirkdrew Xchè avrà dato una risposta acida a lui,acida,0,0
10011,"@FabrizioDamian2 @pestapere In seconda battuta occorrerà un'altra conferenza a Riad,come pure in Cassazione. \nIl giudice fiorentino ha fatto buon governo della legge,precisando che la satira anche acida è lecita nei confronti dei politici.\nSpiace per voi renziani ma vi dovete abituare alle sconfitte legali.",acida,0,0
10012,@CarloMossa Vorrei tornare a prima del 2 Gennaio...Milord...ero meno...acida...ora mi pare di esser diventa come...il gretto..che osò...farmi la morale per dei twitt..,acida,1,0
10013,@_sommario_ probabilmente se le è sognate oppure considera come “litigata” quando ogni tanto tira una risposta acida 💀,acida,0,0
10014,"@stanzaselvaggia C'avrei scommesso che la leccaculo di Travaglio e  acida donnetta avrebbe scritto simile boiata\nVede oca selvaggia, c'è un modo intelligente per fare satira ed uno da bimbomichia\nComunque mi fa piacere che il giudice abbia sollevato Travaglio dal pagare l'ennesima calunnia -&gt;",acida,1,1
10015,"@Sacri71 @silupescu Macchè, barbabietole e panna acida per fare la zuppa.",acida,0,0
10016,@silupescu Che acida e antipatica quella coi capelli in tinta con la giacca che mostra la magliettina viola.,acida,1,1
10017,@cindygooo Una grande sorella e' particolarmente acida con Oriana persino nel tono.vergognosi,acida,1,0
10018,Non ho capito il disprezzo di questa donna per la cognata che si è seduta a tavola per la prima volta in vita sua con la sua famiglia...una vecchia zitellona acida 😠😠😠😠\n#YaliÇapkini https://t.co/b9scfrpzgX,acida,1,1
10019,@ricckardsummer Infatti è inesistente ogni tanto apre bocca per dire delle cattiverie è acida come quel speudo moroso,acida,1,1
10020,"@worldernest @alwaysmyself87 Sarebbe un’idea, almeno sarebbe meno acida 🤣🤣🤣",acida,1,1
10021,@pisto_gol Per cui …….Che vita acida che devi avere .\nÈ una bellissima giornata fatti una passeggiata invece di pensare sempre alla tua ossessione .,acida,0,0
10022,Troppo idiota non la sopporto più.\nMa d'altronde la capisco una vecchia acida zitella che si crede ancora appetibile e nessuno la calcola. https://t.co/CkEi66tMB4,acida,1,1
10023,Obiettivo: trovare un posto a Modena che venda birra acida,acida,0,0
10024,@ARSlav4 @Ingestibile79 @gildacana Si nasconde dietro la foto di un quadro perché è una grassona orribile! Acida e frustrata e venduta ai russi,acida,1,1
10025,"#BuongiornoATutti da @CasaLettori con il\n\n""Papanasi""\n\nOriginario della Romania \n\ndolce fritto farcito con formaggio fresco e panna leggermente acida.\nServito con un una bella colata di marmellata ai mirtilli e una spolverata di zucchero a velo.\n\n#TripudioDiSapori a #CasaLettori https://t.co/vxNe4nsilx",acida,0,0
10026,@gommothceccogm1 È BRUTTA FUORI E DENTRO QUELLA ZITELLA ACIDA!!!,acida,1,1
10027,acida-muriatico: Vale di più un “mi manchi” detto dopo anni o un “ci sono sempre” ? ~ Mecna https://t.co/TQ0bBzTaDC,acida,0,0
10028,"@itsxandree @sparklelemony Puoi citare quanto vuoi la frase di Gianmarco, per altro infondata, ma è innegabile come sia stata fuori luogo e con una intenzione non pienamente ironica, affermata da te ""acida"".\nSe poi vedo pure i like alle tue colleghe uno fa 2 + 2",acida,0,0
10029,@M25016096 Ci hanno dato addosso in una maniera rabbiosa e acida. Noi non dimentichiamo di certo. Ma sono convinto che la vita stessa gli darà una lezione.,acida,0,0
10030,@FioralbaI Ma questi è birra acida artigianale,acida,0,0
10031,"@Vale41229116 Perché ti vogliono fuori tutti ,,sei una persona acida ,,lo vuoi capire o no..... Nn piaci a nessuno,,,,lunedì entrerà il tuo Gianluca  e farete il siparietto alla Alex belli e moglie ...tutto calcolato a puntino ,,così farai ancora più schifo",acida,1,1
10032,@agggenzia Manca giusto la panna acida,acida,0,0
10033,#FoscaInnocenti #Fosca2 ma sarà stata la sorella di viani??? e che ha provato anche ad ucciderlo??? è sempre stata acida e abbastanza cattiva!!,acida,1,0
10034,odiando il fatto che qualcuno un giorno si è alzato e ha deciso di mimare con la bocca e smorfie acida dei prozac+ su tiktok con tanto di commenti di 15enni “pensavo di conoscerla solo io” no franca è più vecchia di te sta canzone  😪,acida,0,0
10035,"@sole24ore . molti  burini   ignoranti tra i... ""Kapo'  on the net"";\ntempo fà  un mio commento sulla Dea Egizia (e poi \nRomana )Isis/Iside suscito'  un'  acida  reazione da un \ntanghero che pensava che stessi  parlando male  del\nCaliffato,Daes etc e dei  Musulmani in genere....\nergo......",acida,0,0
10036,@semplicementeec Dai non fare l’acida prendila così n modo migliore,acida,1,1
10037,|| un anno di questa piccola serpe acida 🤧 https://t.co/4O6jVqtDUm,acida,1,0
10038,@lucreziacampolo @suami_leone si lucrezia sei molto acida,acida,1,1
10039,@Iosonolagomma Ha 40 anni e sei la tipica stronzetta acida annoiata e un po’ rosicona.,acida,1,1
